0,10,20,30,40,50,60,70,80,90,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.541666666666671
