slack_0,non_interrupt,interrupt
8400.7,7421.29,7221.95
8543.64,7421.29,7221.95
8708.39,7421.29,7221.95
8900.66,7421.29,7221.95
9125.05,7421.29,7221.95
9368.02,7421.29,7221.95
9579.92,7421.29,7221.95
9780.210000000001,7421.29,7221.95
9991.81,7421.29,7221.95
10192.56,7421.29,7221.95
10368.7,7421.29,7221.95
10505.42,7421.29,7221.95
10562.6,7421.29,7221.95
10539.54,7421.29,7221.95
10452.89,7421.29,7221.95
10299.83,7421.29,7221.95
10101.47,7421.29,7221.95
9878.88,7421.29,7221.95
9667.2,7421.29,7221.95
9460.41,7421.29,7221.95
9243.31,7421.29,7221.95
9020.27,7421.29,7221.95
8799.66,7421.29,7221.95
8594.29,7421.29,7221.95
8435.61,7421.29,7221.95
8333.71,7421.29,7221.95
8270.68,7421.29,7221.95
8236.38,7421.29,7221.95
8222.66,7421.29,7221.95
8197.1,7421.29,7221.95
8148.3,7421.29,7221.95
8087.88,7421.29,7221.95
8032.4,7421.29,7221.95
7968.55,7421.29,7221.95
7885.78,7421.29,7221.95
7806.04,7421.29,7221.95
7700.09,7421.29,7221.95
7609.139999999999,7421.29,7221.95
7527.33,7421.29,7221.95
7459.48,7421.29,7221.95
7421.29,7421.29,7221.95
7450.11,7450.11,7221.95
7531.78,7531.78,7221.95
7674.139999999999,7674.14,7221.95
7837.91,7782.71,7221.95
8011.75,7782.71,7246.81
8180.73,7782.71,7300.39
8338.42,7782.71,7360.9
8503.91,7782.71,7435.09
8645.53,7782.71,7490.49
8778.87,7782.71,7534.74
8901.37,7782.71,7563.8
9005.7,7782.71,7568.43
9070.03,7782.71,7568.43
9118.54,7782.71,7568.43
9123.71,7782.71,7568.43
9110.75,7782.71,7568.43
9092.17,7782.71,7568.43
9076.6,7782.71,7568.43
9055.25,7782.71,7568.43
9058.1,7782.71,7568.43
9079.0,7782.71,7568.43
9109.3,7782.71,7568.43
9128.8,7782.71,7568.43
9145.8,7782.71,7568.43
9183.15,7782.71,7568.43
9226.56,7782.71,7568.43
9299.24,7782.71,7568.43
9383.02,7782.71,7568.43
9485.94,7782.71,7568.43
9612.71,7782.71,7568.43
9770.17,7782.71,7568.43
9913.29,7782.71,7568.43
10046.76,7782.71,7568.43
10169.09,7782.71,7568.43
10296.14,7782.71,7568.43
10408.56,7782.71,7568.43
10480.68,7782.71,7568.43
10531.83,7782.71,7568.43
10529.01,7782.71,7568.43
10501.24,7782.71,7568.43
10475.94,7782.71,7568.43
10431.24,7782.71,7568.43
10342.79,7782.71,7568.43
10235.16,7782.71,7568.43
10124.61,7782.71,7568.43
10025.89,7782.71,7568.43
9929.16,7782.71,7568.43
9853.46,7782.71,7568.43
9803.33,7782.71,7568.43
9784.08,7782.71,7568.43
9797.15,7782.71,7568.43
9829.89,7782.71,7568.43
9839.57,7782.71,7568.43
9856.23,7782.71,7568.43
9903.96,7782.71,7568.43
9957.22,7782.71,7568.43
10012.27,7782.71,7568.43
10049.81,7782.71,7568.43
10085.19,7782.71,7568.43
10108.15,7782.71,7568.43
10112.05,7782.71,7568.43
10083.28,7782.71,7568.43
10042.98,7782.71,7568.43
10001.66,7782.71,7568.43
9964.77,7782.71,7568.43
9911.77,7782.71,7568.43
9831.2,7782.71,7568.43
9743.23,7782.71,7568.43
9657.81,7782.71,7568.43
9573.87,7782.71,7568.43
9495.86,7782.71,7568.43
9404.59,7782.71,7568.43
9333.09,7782.71,7568.43
9301.09,7782.71,7568.43
9295.48,7782.71,7568.43
9292.54,7782.71,7568.43
9275.01,7782.71,7568.43
9263.33,7782.71,7568.43
9261.39,7782.71,7568.43
9263.7,7782.71,7568.43
9273.34,7782.71,7568.43
9302.36,7782.71,7568.43
9338.74,7782.71,7568.43
9390.8,7782.71,7568.43
9425.42,7782.71,7568.43
9448.41,7782.71,7568.43
9448.67,7782.71,7568.43
9446.3,7782.71,7568.43
9458.77,7782.71,7568.43
9482.75,7782.71,7568.43
9528.36,7782.71,7568.43
9619.94,7782.71,7568.43
9704.33,7782.71,7568.43
9755.42,7782.71,7568.43
9792.26,7782.71,7568.43
9815.19,7782.71,7568.43
9849.55,7782.71,7568.43
9841.57,7782.71,7568.43
9839.37,7782.71,7568.43
9830.78,7782.71,7568.43
9814.49,7782.71,7568.43
9802.22,7782.71,7568.43
9790.5,7782.71,7568.43
9746.57,7782.71,7568.43
9691.380000000001,7782.71,7568.43
9676.29,7782.71,7568.43
9674.26,7782.71,7568.43
9671.41,7782.71,7568.43
9642.13,7782.71,7568.43
9636.05,7782.71,7568.43
9618.17,7782.71,7568.43
9611.42,7782.71,7568.43
9618.88,7782.71,7568.43
9639.48,7782.71,7568.43
9685.9,7782.71,7549.36
9731.89,7782.71,7543.68
9797.26,7782.71,7534.47
9845.68,7782.71,7523.01
9878.22,7782.71,7514.33
9925.21,7782.71,7512.92
9983.58,7782.71,7512.92
10033.24,7782.71,7512.92
10074.61,7782.71,7512.92
10093.69,7782.71,7512.92
10111.73,7782.71,7512.92
10116.93,7782.71,7512.92
10087.47,7782.71,7512.92
10065.74,7782.71,7512.92
10021.6,7782.71,7512.92
9982.17,7782.71,7512.92
9965.32,7782.71,7512.92
9944.8,7782.71,7512.92
