slack_0,non_interrupt,interrupt
880.72,821.27,815.52
841.96,821.27,815.52
821.27,821.27,819.95
828.96,828.96,828.96
858.47,858.47,858.47
899.22,899.22,899.22
948.1800000000001,948.18,937.25
1008.21,1008.21,976.72
1064.01,1064.01,1023.57
1112.03,1112.03,1064.54
1176.85,1176.85,1114.23
1257.88,1257.88,1183.3
1364.48,1364.48,1251.0
1485.73,1485.73,1333.09
1586.77,1575.13,1404.76
1656.32,1575.13,1454.1
1705.0,1575.13,1486.51
1741.42,1575.13,1507.63
1759.35,1575.13,1516.08
1766.2,1575.13,1516.08
1776.93,1575.13,1516.8
1786.23,1575.13,1520.01
1778.85,1575.13,1520.01
1767.93,1575.13,1520.01
1729.03,1575.13,1520.01
1688.83,1575.13,1520.01
1663.65,1575.13,1520.01
1648.68,1575.13,1520.01
1650.3899999999999,1575.13,1520.01
1656.52,1575.13,1520.01
1662.6599999999999,1575.13,1520.01
1660.15,1575.13,1520.01
1653.04,1575.13,1520.01
1644.94,1575.13,1520.01
1647.62,1575.13,1521.29
1647.92,1575.13,1529.62
1646.87,1575.13,1539.0
1633.91,1575.13,1550.94
1614.53,1575.13,1562.48
1601.21,1575.13,1571.05
1583.95,1575.13,1571.05
1575.13,1575.13,1571.05
1581.8,1581.8,1571.05
1609.3,1609.3,1581.73
1651.27,1651.27,1597.0
1716.64,1716.64,1618.38
1775.2,1775.2,1636.18
1835.41,1835.41,1668.14
1891.52,1891.52,1706.07
1961.98,1938.27,1757.55
2032.53,1938.27,1810.4
2097.78,1938.27,1853.79
2173.86,1938.27,1887.54
2241.85,1938.27,1909.16
2304.81,1938.27,1922.27
2367.46,1938.27,1924.03
2431.64,1938.27,1924.03
2486.4,1938.27,1924.03
2537.38,1938.27,1924.03
2586.01,1938.27,1924.03
2660.8,1938.27,1924.03
2726.61,1938.27,1924.03
2790.74,1938.27,1924.03
2850.3,1938.27,1924.03
2901.84,1938.27,1924.03
2974.73,1938.27,1924.03
3059.02,1938.27,1924.03
3117.66,1938.27,1924.03
3153.2,1938.27,1924.03
3175.91,1938.27,1924.03
3206.0299999999997,1938.27,1924.03
3244.21,1938.27,1924.03
3259.3199999999997,1938.27,1924.03
3273.88,1938.27,1924.03
3275.6,1938.27,1924.03
3261.1,1938.27,1924.03
3246.33,1938.27,1924.03
3193.95,1938.27,1924.03
3138.97,1938.27,1924.03
3103.54,1938.27,1924.03
3090.52,1938.27,1924.03
3070.55,1938.27,1924.03
3062.3,1938.27,1924.03
3066.56,1938.27,1924.03
3076.44,1938.27,1924.03
3075.85,1938.27,1924.03
3075.34,1938.27,1924.03
3082.2200000000003,1938.27,1924.03
3081.38,1938.27,1924.03
3102.09,1938.27,1924.03
3116.38,1938.27,1924.03
3107.12,1938.27,1924.03
3091.27,1938.27,1924.03
3075.64,1938.27,1924.03
3035.25,1938.27,1924.03
2976.19,1938.27,1924.03
2909.12,1938.27,1924.03
2856.99,1938.27,1924.03
2833.56,1938.27,1924.03
2821.88,1938.27,1924.03
2797.12,1938.27,1924.03
2743.77,1938.27,1924.03
2679.61,1938.27,1924.03
2622.46,1938.27,1924.03
2557.65,1938.27,1924.03
2491.98,1938.27,1924.03
2424.24,1938.27,1924.03
2347.75,1938.27,1924.03
2281.96,1938.27,1924.03
2223.52,1938.27,1924.03
2148.8,1938.27,1924.03
2084.7599999999998,1938.27,1924.03
2033.7,1938.27,1924.03
1998.42,1938.27,1924.03
1982.6599999999999,1938.27,1924.03
1963.33,1938.27,1924.03
1945.7,1938.27,1924.03
1938.27,1938.27,1924.03
1951.8899999999999,1951.89,1932.64
1980.85,1980.85,1961.6
1999.43,1999.43,1985.9
2019.64,2019.64,2006.11
2036.68,2036.68,2034.5
2051.44,2051.44,2051.44
2073.41,2073.41,2073.41
2107.4,2107.4,2107.4
2135.55,2135.55,2135.55
2179.9900000000002,2179.99,2179.87
2249.44,2249.44,2224.87
2336.6,2336.6,2269.8
2453.46,2453.46,2308.07
2565.99,2565.99,2350.52
2689.52,2689.52,2398.05
2809.44,2809.44,2441.41
2939.9300000000003,2820.89,2493.55
3062.66,2820.89,2534.54
3182.95,2820.89,2565.23
3313.74,2820.89,2588.05
3436.46,2820.89,2602.13
3543.77,2820.89,2616.66
3614.39,2820.89,2616.66
3651.13,2820.89,2616.66
3657.48,2820.89,2616.66
3671.12,2820.89,2616.66
3682.3,2820.89,2616.66
3701.41,2820.89,2616.66
3723.17,2820.89,2616.66
3750.96,2820.89,2616.66
3752.7,2820.89,2616.66
3693.63,2820.89,2616.66
3623.95,2820.89,2616.66
3572.96,2820.89,2616.66
3551.9700000000003,2820.89,2616.66
3576.9700000000003,2820.89,2616.66
3605.2,2820.89,2616.66
3620.69,2820.89,2616.66
3621.77,2820.89,2616.66
3634.25,2820.89,2616.66
3637.5699999999997,2820.89,2616.66
3628.36,2820.89,2616.66
3656.29,2820.89,2616.66
3740.04,2820.89,2616.66
3834.6,2820.89,2616.66
3919.31,2820.89,2616.66
3992.7799999999997,2820.89,2616.66
4022.39,2820.89,2616.66
4049.71,2820.89,2616.66
4090.5299999999997,2820.89,2616.66
4136.14,2820.89,2616.66
4158.79,2820.89,2616.66
4185.12,2820.89,2616.66
4214.74,2820.89,2616.66
4211.29,2820.89,2616.66
4181.63,2820.89,2616.66
4141.03,2820.89,2616.66
4108.1,2820.89,2616.66
4066.59,2820.89,2616.66
4032.84,2820.89,2616.66
3984.69,2820.89,2616.66
3924.61,2820.89,2616.66
3839.16,2820.89,2616.66
3743.0,2820.89,2616.66
3624.59,2820.89,2616.66
3489.86,2820.89,2616.66
3369.75,2820.89,2616.66
3260.16,2820.89,2616.66
3174.2200000000003,2820.89,2616.66
3105.16,2820.89,2616.66
3060.61,2820.89,2616.66
3055.12,2820.89,2616.66
3070.62,2820.89,2616.66
3099.4,2820.89,2616.66
3161.75,2820.89,2616.66
3268.79,2820.89,2616.66
3409.66,2820.89,2616.66
3576.6,2820.89,2626.97
3741.94,2820.89,2637.78
3886.7,2820.89,2650.82
4003.8,2820.89,2650.82
4108.58,2820.89,2650.82
4212.43,2820.89,2650.82
4299.81,2820.89,2650.82
4363.14,2820.89,2650.82
4408.48,2820.89,2650.82
4470.72,2820.89,2636.19
4491.08,2820.89,2600.22
4491.16,2820.89,2563.33
4482.09,2820.89,2526.22
4484.36,2820.89,2490.15
4499.52,2772.72,2459.39
4484.48,2678.65,2430.19
4400.0,2588.33,2408.48
4281.66,2512.39,2391.68
4139.15,2440.08,2376.93
4003.6,2381.32,2356.74
3888.11,2338.43,2335.17
3751.77,2307.5,2307.5
3620.9900000000002,2300.7,2289.55
3497.19,2300.7,2282.48
3362.62,2300.7,2282.48
3206.5,2300.7,2282.48
