slack_0,non_interrupt,interrupt
5832.83,5531.27,5132.24
5821.7,5531.27,5132.24
5818.79,5531.27,5132.24
5817.33,5531.27,5132.24
5813.09,5531.27,5132.24
5804.23,5531.27,5132.24
5791.48,5531.27,5132.24
5785.54,5531.27,5143.89
5765.07,5531.27,5148.27
5751.23,5531.27,5159.09
5730.47,5531.27,5166.37
5706.71,5531.27,5168.37
5685.51,5531.27,5168.37
5685.42,5531.27,5178.06
5687.49,5531.27,5183.6
5690.88,5531.27,5187.27
5691.52,5531.27,5187.27
5695.85,5531.27,5187.27
5700.63,5531.27,5187.27
5701.07,5531.27,5187.27
5699.63,5531.27,5187.27
5696.12,5531.27,5187.27
5682.2,5531.27,5187.27
5667.28,5531.27,5187.27
5652.33,5531.27,5187.27
5639.56,5531.27,5187.27
5629.78,5531.27,5187.27
5622.27,5531.27,5187.27
5614.08,5531.27,5187.27
5591.4800000000005,5531.27,5193.01
5567.93,5531.27,5207.01
5549.38,5531.27,5234.11
5536.11,5531.27,5268.74
5531.27,5531.27,5303.06
5542.16,5542.16,5341.55
5564.1900000000005,5564.19,5378.04
5601.62,5601.62,5408.83
5647.1900000000005,5647.19,5432.8
5702.68,5702.68,5450.37
5767.83,5767.83,5465.13
5827.85,5827.85,5473.66
5879.96,5879.96,5473.66
5929.04,5929.04,5473.66
5976.76,5976.76,5473.66
6024.91,6024.91,5473.66
6074.76,6074.76,5473.66
6122.03,6122.03,5473.66
6164.13,6164.13,5473.66
6212.05,6212.05,5473.66
6251.17,6251.17,5473.66
6286.39,6286.39,5473.66
6322.2300000000005,6322.23,5473.66
6365.16,6365.16,5488.49
6415.74,6389.24,5530.25
6473.81,6389.24,5581.47
6531.4,6389.24,5636.96
6588.49,6389.24,5694.76
6636.28,6389.24,5743.87
6699.76,6389.24,5780.43
6752.17,6389.24,5802.95
6812.88,6389.24,5804.41
6857.44,6389.24,5804.41
6880.2,6389.24,5804.41
6883.01,6389.24,5804.41
6869.74,6389.24,5804.41
6854.35,6389.24,5804.41
6836.29,6389.24,5804.41
6819.49,6389.24,5804.41
6811.8099999999995,6389.24,5804.41
6818.35,6389.24,5804.41
6829.37,6389.24,5804.41
6837.52,6389.24,5804.41
6840.4,6389.24,5804.41
6848.68,6389.24,5804.41
6856.96,6389.24,5804.41
6866.7699999999995,6389.24,5804.41
6866.83,6389.24,5804.41
6871.74,6389.24,5804.41
6876.08,6389.24,5804.41
6882.38,6389.24,5804.79
6890.41,6389.24,5808.49
6891.73,6389.24,5812.78
6871.13,6389.24,5812.78
6860.4,6389.24,5812.78
6831.61,6389.24,5812.78
6808.9,6389.24,5812.78
6793.2699999999995,6389.24,5812.78
6787.55,6389.24,5812.78
6796.95,6389.24,5812.78
6809.24,6389.24,5812.78
6825.3,6389.24,5812.78
6841.09,6389.24,5812.78
6850.28,6389.24,5812.78
6843.55,6389.24,5812.78
6834.87,6389.24,5812.78
6843.1,6389.24,5812.78
6845.58,6389.24,5812.78
6840.14,6389.24,5812.78
6835.96,6389.24,5812.78
6830.61,6389.24,5812.78
6825.42,6389.24,5812.78
6815.98,6389.24,5812.78
6795.82,6389.24,5812.78
6769.42,6389.24,5812.78
6744.74,6389.24,5812.78
6730.09,6389.24,5816.02
6714.8099999999995,6389.24,5816.02
6701.5599999999995,6389.24,5816.02
6693.08,6389.24,5816.02
6682.56,6389.24,5816.02
6663.26,6389.24,5816.02
6631.96,6389.24,5816.02
6593.09,6389.24,5816.02
6550.81,6389.24,5816.02
6509.44,6389.24,5816.02
6462.06,6389.24,5816.02
6416.61,6389.24,5816.02
6394.82,6389.24,5816.02
6393.91,6389.24,5816.02
6390.66,6389.24,5816.02
6389.24,6389.24,5816.02
6396.17,6396.17,5816.02
6403.57,6403.57,5816.02
6413.88,6413.88,5816.02
6426.61,6426.61,5816.02
6438.58,6438.58,5816.53
6452.9,6452.9,5830.85
6477.14,6477.14,5854.92
6501.11,6501.11,5877.81
6521.88,6521.88,5898.58
6537.32,6537.32,5913.45
6555.83,6555.83,5913.45
6579.38,6579.38,5913.45
6631.4400000000005,6631.44,5913.45
6711.9400000000005,6711.94,5913.45
6807.76,6807.76,5913.45
6913.18,6913.18,5913.45
7030.27,7030.27,5914.7
7155.48,7098.49,5914.7
7285.86,7098.49,5918.19
7410.62,7098.49,5918.93
7505.38,7098.49,5918.93
7575.8099999999995,7098.49,5918.93
7646.69,7098.49,5918.93
7714.32,7098.49,5918.93
7771.37,7098.49,5918.93
7827.15,7098.49,5918.93
7881.0199999999995,7098.49,5918.93
7949.0,7098.49,5918.93
8024.04,7098.49,5918.93
8082.04,7098.49,5921.84
8126.89,7098.49,5927.51
8167.73,7098.49,5932.5
8208.06,7098.49,5938.97
8260.37,7098.49,5947.88
8306.02,7098.49,5947.88
8356.89,7098.49,5947.88
8383.16,7098.49,5947.88
8396.69,7098.49,5947.88
8406.25,7098.49,5947.88
8415.55,7098.49,5947.88
8416.46,7098.49,5947.88
8403.99,7098.49,5947.88
8389.8,7098.49,5947.88
8379.08,7098.49,5947.88
8388.67,7098.49,5947.88
8409.27,7098.49,5947.88
8426.8,7098.49,5947.88
8455.27,7098.49,5947.88
8498.68,7098.49,5947.88
8541.08,7098.49,5947.88
8583.29,7098.49,5947.88
8607.52,7098.49,5947.88
8621.87,7098.49,5947.88
