slack_0,non_interrupt,interrupt
13889.25,13882.07,13378.69
13889.25,13882.07,13378.69
13889.25,13882.07,13378.69
13889.25,13882.07,13378.69
13889.25,13882.07,13378.69
13889.25,13882.07,13378.69
13889.289999999999,13882.07,13378.69
13889.529999999999,13882.07,13378.69
13891.519999999999,13882.07,13378.69
13893.91,13882.07,13379.81
13896.38,13882.07,13381.67
13898.199999999999,13882.07,13382.98
13899.56,13882.07,13383.2
13900.25,13882.07,13383.2
13900.589999999998,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.8,13882.07,13383.2
13900.99,13882.07,13383.2
13900.949999999999,13882.07,13383.2
13900.019999999999,13882.07,13383.2
13899.509999999998,13882.07,13383.2
13898.9,13882.07,13383.2
13898.039999999999,13882.07,13383.2
13897.41,13882.07,13383.2
13897.029999999999,13882.07,13383.2
13896.599999999999,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.09,13882.07,13383.2
13896.05,13882.07,13383.2
13895.539999999999,13882.07,13383.2
13895.099999999999,13882.07,13383.2
13893.369999999999,13882.07,13383.2
13891.91,13882.07,13383.41
13891.33,13882.07,13383.94
13889.859999999999,13882.07,13383.94
13887.939999999999,13882.07,13383.94
13887.119999999999,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.15,13882.07,13383.94
13886.369999999999,13882.07,13383.94
13888.31,13882.07,13383.94
13890.609999999999,13882.07,13383.94
13893.75,13882.07,13385.23
13897.43,13882.07,13387.01
13900.55,13882.07,13388.21
13903.81,13882.07,13389.41
13906.91,13882.07,13389.48
13908.519999999999,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.46,13882.07,13389.48
13909.39,13882.07,13389.48
13908.64,13882.07,13389.48
13908.449999999999,13882.07,13389.48
13908.449999999999,13882.07,13389.48
13907.63,13882.07,13389.48
13906.58,13882.07,13389.48
13905.55,13882.07,13389.48
13904.529999999999,13882.07,13389.48
13903.3,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.599999999999,13882.07,13389.48
13902.65,13882.07,13389.48
13902.929999999998,13882.07,13389.48
13902.439999999999,13882.07,13389.48
13901.099999999999,13882.07,13389.48
13899.009999999998,13882.07,13389.48
13896.929999999998,13882.07,13389.48
13894.859999999999,13882.07,13389.48
13893.259999999998,13882.07,13389.48
13892.73,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.5,13882.07,13389.48
13891.42,13882.07,13389.48
13890.4,13882.07,13389.48
13889.699999999999,13882.07,13389.48
13889.4,13882.07,13389.48
13889.17,13882.07,13390.93
13888.949999999999,13882.07,13392.55
13888.8,13882.07,13393.97
13888.13,13882.07,13393.97
13886.63,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.81,13882.07,13393.97
13885.759999999998,13882.07,13393.97
13885.3,13882.07,13393.97
13884.369999999999,13882.07,13393.97
13883.589999999998,13882.07,13394.33
13883.369999999999,13882.07,13396.16
13882.75,13882.07,13398.16
