slack_0,non_interrupt,interrupt
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
580.65,576.0,576.0
579.96,576.0,576.0
578.82,576.0,576.0
578.28,576.0,576.0
577.32,576.0,576.0
576.6,576.0,576.0
576.0,576.0,576.0
576.0,576.0,576.0
576.0,576.0,576.0
576.0,576.0,576.0
576.0,576.0,576.0
576.0,576.0,576.0
576.0,576.0,576.0
576.0,576.0,576.0
576.0,576.0,576.0
576.57,576.57,576.0
578.27,578.27,576.0
578.27,578.27,576.0
578.27,578.27,576.0
578.27,578.27,576.0
578.66,578.66,576.0
578.86,578.86,576.0
579.1,579.1,576.0
579.1,579.1,576.0
579.73,579.73,576.0
581.63,581.63,576.0
583.51,582.76,576.0
586.71,582.76,576.0
592.7,582.76,576.0
599.25,582.76,576.0
604.88,582.76,576.0
616.13,582.76,576.0
627.19,582.76,576.0
639.2,582.76,576.0
650.44,582.76,576.0
659.79,582.76,576.0
669.37,582.76,576.0
678.18,582.76,576.0
687.49,582.76,576.0
696.7,582.76,576.0
700.71,582.76,576.0
705.5,582.76,576.0
711.98,582.76,576.0
721.09,582.76,576.0
728.95,582.76,576.0
738.5,582.76,576.0
748.45,582.76,576.0
758.42,582.76,576.0
765.79,582.76,576.0
771.75,582.76,576.0
778.2,582.76,576.0
788.98,582.76,576.0
798.06,582.76,576.0
804.15,582.76,576.0
814.08,582.76,576.0
819.99,582.76,576.0
822.47,582.76,576.0
814.3,582.76,576.0
803.24,582.76,576.0
796.46,582.76,576.0
789.46,582.76,576.0
781.2,582.76,576.0
771.89,582.76,576.0
762.11,582.76,576.0
756.4,582.76,576.0
751.61,582.76,576.0
745.13,582.76,576.0
736.02,582.76,576.0
735.47,582.76,576.0
736.09,582.76,576.0
729.16,582.76,576.0
722.96,582.76,576.0
719.46,582.76,576.0
715.71,582.76,576.0
710.62,582.76,576.0
697.74,582.76,576.0
683.93,582.76,576.0
673.58,582.76,576.0
661.16,582.76,576.0
646.15,582.76,576.0
633.86,582.76,576.0
630.02,582.76,576.0
629.84,582.76,576.0
627.27,582.76,576.0
624.69,582.76,576.0
624.41,582.76,576.0
624.65,582.76,576.0
624.71,582.76,576.0
624.9,582.76,576.0
625.1,582.76,576.0
625.1,582.76,576.0
625.16,582.76,576.0
617.93,582.76,576.0
608.83,582.76,576.0
605.5699999999999,582.76,576.0
601.8,582.76,576.0
597.3,582.76,576.0
593.1899999999999,582.76,576.0
589.95,582.76,576.0
592.9,582.76,576.0
597.04,582.76,576.0
600.62,582.76,576.0
603.3,582.76,576.0
602.99,582.76,576.0
602.11,582.76,576.0
603.75,582.76,576.0
606.19,582.76,576.0
610.25,582.76,576.0
615.34,582.76,576.0
620.08,582.76,576.0
625.24,582.76,576.0
629.72,582.76,576.0
640.13,582.76,576.0
651.81,582.76,576.0
666.48,582.76,576.0
681.49,582.76,576.0
698.23,582.76,576.0
713.74,582.76,576.0
729.83,582.76,576.0
743.98,582.76,576.0
758.99,582.76,576.0
770.97,582.76,576.0
780.76,582.76,576.0
792.21,582.76,576.0
804.92,582.76,576.0
815.34,582.76,576.0
825.09,582.76,576.0
836.03,582.76,576.0
850.53,582.74,576.0
863.66,582.74,576.0
872.78,582.74,576.0
877.72,580.87,576.0
882.22,576.78,576.0
888.04,576.78,576.0
893.51,576.78,576.0
901.28,576.38,576.0
911.61,576.38,576.0
918.59,576.38,576.0
923.98,576.38,576.0
935.15,576.38,576.0
940.87,576.38,576.0
945.3,576.38,576.0
950.82,576.38,576.0
952.86,576.38,576.0
950.54,576.38,576.0
948.34,576.38,576.0
946.65,576.38,576.0
939.11,576.38,576.0
927.13,576.38,576.0
915.36,576.38,576.0
905.38,576.38,576.0
898.66,576.38,576.0
887.69,576.38,576.0
873.92,576.38,576.0
863.18,576.38,576.0
855.21,576.38,576.0
846.3,576.38,576.0
836.25,576.38,576.0
828.0,576.38,576.0
819.07,576.38,576.0
802.15,576.38,576.0
786.89,576.38,576.0
770.63,576.38,576.0
750.07,576.38,576.0
730.86,576.38,576.0
710.37,576.38,576.0
688.76,576.38,576.0
672.57,576.38,576.0
659.88,576.38,576.0
650.1,576.38,576.0
642.0,576.38,576.0
634.04,576.38,576.0
627.91,576.38,576.0
623.39,576.38,576.0
617.8,576.38,576.0
611.74,576.38,576.0
607.84,576.38,576.0
609.0,576.38,576.0
609.07,576.38,576.0
608.32,576.38,576.0
607.64,576.38,576.0
608.52,576.38,576.0
606.93,576.38,576.0
603.96,576.0,576.0
600.28,576.0,576.0
596.68,576.0,576.0
592.88,576.0,576.0
587.2,576.0,576.0
583.48,576.0,576.0
582.76,576.0,576.0
582.76,576.0,576.0
582.76,576.0,576.0
582.76,576.0,576.0
582.76,576.0,576.0
582.76,576.0,576.0
582.76,576.0,576.0
583.05,576.0,576.0
584.91,576.0,576.0
586.87,576.0,576.0
588.96,576.0,576.0
589.8,576.0,576.0
589.79,576.0,576.0
595.67,576.0,576.0
596.8,576.0,576.0
598.63,576.0,576.0
599.18,576.0,576.0
598.15,576.0,576.0
600.41,576.0,576.0
603.42,576.0,576.0
607.07,576.0,576.0
609.9,576.0,576.0
611.42,576.0,576.0
613.96,576.0,576.0
614.89,576.0,576.0
615.93,576.0,576.0
616.64,576.0,576.0
616.64,576.0,576.0
616.64,576.0,576.0
617.1899999999999,576.0,576.0
619.91,576.0,576.0
625.56,576.0,576.0
632.4,576.0,576.0
635.57,576.0,576.0
635.21,576.0,576.0
634.37,576.0,576.0
632.22,576.0,576.0
625.45,576.0,576.0
624.15,576.0,576.0
624.21,576.0,576.0
628.75,576.0,576.0
637.26,576.0,576.0
647.51,576.0,576.0
660.11,576.0,576.0
675.33,576.0,576.0
689.42,576.0,576.0
704.22,576.0,576.0
719.59,576.0,576.0
736.04,576.0,576.0
752.73,576.0,576.0
769.19,576.0,576.0
783.35,576.0,576.0
793.73,576.0,576.0
800.7,576.0,576.0
804.54,576.0,576.0
806.81,576.0,576.0
806.09,576.0,576.0
805.74,576.0,576.0
807.68,576.0,576.0
808.42,576.0,576.0
808.42,576.0,576.0
811.15,576.0,576.0
812.83,576.0,576.0
811.31,576.0,576.0
805.08,576.0,576.0
797.41,576.0,576.0
786.13,576.0,576.0
771.33,576.0,576.0
753.56,576.0,576.0
736.64,576.0,576.0
720.32,576.0,576.0
702.41,576.0,576.0
685.03,576.0,576.0
667.3,576.0,576.0
650.13,576.0,576.0
635.97,576.0,576.0
625.59,576.0,576.0
618.07,576.0,576.0
611.51,576.0,576.0
604.15,576.0,576.0
596.17,576.0,576.0
592.6,576.0,576.0
592.8,576.0,576.0
592.28,576.0,576.0
592.28,576.0,576.0
589.55,576.0,576.0
589.63,576.0,576.0
593.35,576.0,576.0
592.83,576.0,576.0
591.99,576.0,576.0
590.75,576.0,576.0
589.61,576.0,576.0
588.51,576.0,576.0
588.51,576.0,576.0
588.51,576.0,576.0
588.51,576.0,576.0
588.51,576.0,576.0
588.51,576.0,576.0
588.89,576.0,576.0
588.89,576.0,576.0
588.89,576.0,576.0
588.89,576.0,576.0
588.89,576.0,576.0
588.04,576.0,576.0
588.04,576.0,576.0
586.83,576.0,576.0
582.96,576.0,576.0
582.74,576.0,576.0
582.74,576.0,576.0
582.74,576.0,576.0
580.87,576.0,576.0
576.78,576.0,576.0
576.78,576.0,576.0
576.78,576.0,576.0
576.38,576.0,576.0
576.38,576.0,576.0
576.38,576.0,576.0
576.38,576.0,576.0
576.69,576.0,576.0
577.11,576.0,576.0
577.11,576.0,576.0
577.11,576.0,576.0
576.73,576.0,576.0
576.73,576.0,576.0
576.73,576.0,576.0
576.73,576.0,576.0
576.73,576.0,576.0
576.73,576.0,576.0
576.73,576.0,576.0
577.26,576.0,576.0
580.77,576.0,576.0
585.72,576.0,576.0
587.3,576.0,576.0
587.3,576.0,576.0
587.3,576.0,576.0
587.3,576.0,576.0
587.97,576.0,576.0
589.61,576.0,576.0
590.34,576.0,576.0
590.34,576.0,576.0
590.34,576.0,576.0
590.34,576.0,576.0
590.03,576.0,576.0
589.61,576.0,576.0
589.61,576.0,576.0
589.61,576.0,576.0
589.61,576.0,576.0
589.61,576.0,576.0
589.61,576.0,576.0
